"station_id","date_from","date_to","altitude","latitude","longitude","name","state","geometry"
5347,"1995-09-01","2022-09-07",236,51.5039,9.1118,"Warburg","Nordrhein-Westfalen","0101000020E6100000B7627FD93D3922402A3A92CB7FC04940"
5360,"2007-07-01","2022-09-07",331,51.4319,8.2665,"Warstein-Hirschberg","Nordrhein-Westfalen","0101000020E61000009CC420B0728820403A92CB7F48B74940"
5480,"2003-09-10","2022-09-07",85,51.5763,7.8879,"Werl","Nordrhein-Westfalen","0101000020E61000003E7958A8358D1F40A857CA32C4C94940"
5513,"2005-09-01","2022-09-07",92,52.2902,7.8687,"Westerkappeln","Nordrhein-Westfalen","0101000020E61000000B24287E8C791F404CA60A4625254A40"
5619,"2004-12-01","2022-09-07",360,51.1637,7.4234,"Wipperfürth-Gardeweg","Nordrhein-Westfalen","0101000020E61000006F8104C58FB11D40772D211FF4944940"
5699,"2004-11-01","2022-09-07",312,51.5427,8.7784,"Wünnenberg-Eilern","Nordrhein-Westfalen","0101000020E6100000AD69DE718A8E214005C58F3177C54940"
5717,"2006-09-01","2022-09-07",134,51.2256,7.1052,"Wuppertal-Buchenhofen","Nordrhein-Westfalen","0101000020E610000024287E8CB96B1C4022FDF675E09C4940"
5733,"2005-05-01","2022-09-07",20,51.697,6.3974,"Xanten","Nordrhein-Westfalen","0101000020E6100000BBB88D06F0961940F0A7C64B37D94940"
6041,"2019-04-10","2022-09-07",38,51.5496,6.945,"Bottrop-Eigen","Nordrhein-Westfalen","0101000020E610000048E17A14AEC71B40D8F0F44A59C64940"
6042,"2019-04-10","2022-09-07",29,51.6671,6.9732,"Dorsten-Harsewinkel","Nordrhein-Westfalen","0101000020E61000006ADE718A8EE41B40AF94658863D54940"
6043,"2019-04-10","2022-09-07",69,51.537,7.5809,"Kurl","Nordrhein-Westfalen","0101000020E610000050FC1873D7521E40DBF97E6ABCC44940"
6044,"2019-04-10","2022-09-07",48,51.5733,7.2056,"Recklinghausen-Reitwinkel","Nordrhein-Westfalen","0101000020E6100000FB3A70CE88D21C40FE65F7E461C94940"
6045,"2019-04-10","2022-09-07",78,51.8898,7.2658,"Rorup","Nordrhein-Westfalen","0101000020E6100000711B0DE02D101D408BFD65F7E4F14940"
6046,"2019-04-10","2022-09-07",83,51.5801,8.0812,"Soest KA","Nordrhein-Westfalen","0101000020E6100000D3DEE00B932920406E3480B740CA4940"
6047,"2019-02-14","2022-09-07",78,50.995,6.7111,"Buesdorf","Nordrhein-Westfalen","0101000020E61000000EBE30992AD81A408FC2F5285C7F4940"
6048,"2019-02-14","2022-09-07",90,50.9981,6.4925,"Bedburg-Grottenherten","Nordrhein-Westfalen","0101000020E6100000B81E85EB51F819409D11A5BDC17F4940"
6050,"2019-02-14","2022-09-07",142,50.7439,6.6097,"Vettweiss","Nordrhein-Westfalen","0101000020E61000001C7C613255701A4048BF7D1D385F4940"
6051,"2019-02-14","2022-09-07",271,50.6556,6.5536,"Heimbach-Vlatten","Nordrhein-Westfalen","0101000020E61000002D431CEBE2361A40F9A067B3EA534940"
6052,"2019-02-14","2022-09-07",111,50.7636,6.8383,"Weilerswist","Nordrhein-Westfalen","0101000020E61000007CF2B0506B5A1B40E09C11A5BD614940"
6053,"2019-02-14","2022-09-07",550,50.5083,6.6611,"Nettersheim-Zingsheim","Nordrhein-Westfalen","0101000020E6100000DB8AFD65F7A41A40454772F90F414940"
6054,"2020-09-21","2022-09-07",27,51.4247,6.7128,"Rheinhausen","Nordrhein-Westfalen","0101000020E6100000EE5A423EE8D91A403C4ED1915CB64940"
6055,"2020-09-22","2022-09-07",19,51.667,6.4714,"Xanten-Lüttingen","Nordrhein-Westfalen","0101000020E61000006D567DAEB6E219404C37894160D54940"
6057,"2020-11-04","2022-09-07",183,51.0901,7.2831,"Neumühle","Nordrhein-Westfalen","0101000020E61000008BFD65F7E4211D404FAF9465888B4940"
6058,"2019-02-14","2022-09-07",180,51.0877,7.1005,"Burscheid","Nordrhein-Westfalen","0101000020E6100000F4FDD478E9661C40FAEDEBC0398B4940"
6059,"2021-02-01","2022-09-07",199,51.2493,7.2994,"Wuppertal-Beyenburg","Nordrhein-Westfalen","0101000020E61000008AB0E1E995321D404772F90FE99F4940"
6060,"2019-02-15","2022-09-07",161,51.0813,7.1845,"Wermelskirchen-Dabringhausen","Nordrhein-Westfalen","0101000020E6100000B0726891EDBC1C401895D409688A4940"
6061,"2019-02-14","2022-09-07",360,51.1062,7.5646,"Kierspe-Stöcken","Nordrhein-Westfalen","0101000020E610000052499D8026421E40E86A2BF6978D4940"
6064,"2019-02-19","2022-09-07",298,51.1717,7.3994,"Wipperfürth-Müllensiepen","Nordrhein-Westfalen","0101000020E6100000F0164850FC981D40925CFE43FA954940"
6067,"2019-02-14","2022-09-07",73,50.8825,6.6989,"Kerpen","Nordrhein-Westfalen","0101000020E610000096B20C71ACCB1A40295C8FC2F5704940"
6197,"2000-10-13","2022-09-07",258,51.8664,9.271,"Lügde-Paenbruch","Nordrhein-Westfalen","0101000020E6100000986E1283C08A224090A0F831E6EE4940"
6264,"2004-06-01","2022-09-07",457,51.414,8.65,"Brilon-Thülen","Nordrhein-Westfalen","0101000020E6100000CDCCCCCCCC4C2140A245B6F3FDB44940"
6313,"2004-12-01","2022-09-07",440,51.2488,7.4672,"Breckerfeld-Wengeberg","Nordrhein-Westfalen","0101000020E6100000CAC342AD69DE1D40569FABADD89F4940"
6337,"2004-08-01","2022-09-07",59,51.7663,7.5194,"Lüdinghausen-Brochtrup","Nordrhein-Westfalen","0101000020E61000006B2BF697DD131E4060764F1E16E24940"
7106,"2006-09-01","2022-09-07",105,52.0714,8.4565,"Bielefeld-Deppendorf","Nordrhein-Westfalen","0101000020E61000007D3F355EBAE920409A779CA223094A40"
7330,"2005-10-01","2022-09-07",159,51.4633,7.978,"Arnsberg-Neheim","Nordrhein-Westfalen","0101000020E6100000B6F3FDD478E91F404F1E166A4DBB4940"
7344,"2006-06-01","2022-09-07",45,51.2992,6.2013,"Nettetal-Hülst","Nordrhein-Westfalen","0101000020E61000003CBD529621CE18404A7B832F4CA64940"
7374,"2006-03-01","2022-09-07",46,52.0813,6.9409,"Ahaus","Nordrhein-Westfalen","0101000020E6100000C139234A7BC31B401895D409680A4A40"
7378,"2006-07-01","2022-09-07",101,51.0149,6.5173,"Bedburg-Weiler Hohenholz","Nordrhein-Westfalen","0101000020E610000019E25817B7111A40EE5A423EE8814940"
13669,"2007-09-01","2022-09-07",55,52.0087,7.8519,"Ostbevern-Schirlheide","Nordrhein-Westfalen","0101000020E61000007FD93D7958681F40D3BCE3141D014A40"
13670,"2007-06-01","2022-09-07",24,51.5088,6.7018,"Duisburg-Baerl","Nordrhein-Westfalen","0101000020E6100000CA54C1A8A4CE1A40371AC05B20C14940"
13671,"2007-12-01","2022-09-07",221,50.9655,7.2753,"Overath-Böke","Nordrhein-Westfalen","0101000020E6100000EE5A423EE8191D40DD240681957B4940"
13696,"2007-12-01","2022-09-07",60,51.5966,7.4048,"Waltrop-Abdinghof","Nordrhein-Westfalen","0101000020E6100000E6AE25E4839E1D40956588635DCC4940"
13700,"2008-05-01","2022-09-07",203,51.3329,7.3412,"Gevelsberg-Oberbröking","Nordrhein-Westfalen","0101000020E6100000AF946588635D1D40516B9A779CAA4940"
13713,"2007-11-01","2022-09-07",386,51.0899,7.6289,"Meinerzhagen-Redlendorf","Nordrhein-Westfalen","0101000020E61000004ED1915CFE831E4088F4DBD7818B4940"
14096,"2021-11-01","2022-09-07",150,50.6225,6.9917,"Klein-Altendorf","Nordrhein-Westfalen","0101000020E6100000D6C56D3480F71B4048E17A14AE4F4940"
14142,"2011-04-18","2022-09-07",33,51.5059,6.8351,"Oberhausen-Buschhausen","Nordrhein-Westfalen","0101000020E6100000F38E537424571B40F085C954C1C04940"
14143,"2011-04-18","2022-09-07",54,51.6073,7.5309,"Lünen/Seseke","Nordrhein-Westfalen","0101000020E61000001DC9E53FA41F1E402F6EA301BCCD4940"
14144,"2011-04-18","2022-09-07",56,51.5801,7.315,"Castrop-Rauxel-Habinghorst","Nordrhein-Westfalen","0101000020E6100000C3F5285C8F421D406E3480B740CA4940"
14145,"2011-04-18","2022-09-07",71,51.514,7.3817,"Dortmund/Oespeler Bach","Nordrhein-Westfalen","0101000020E61000006688635DDC861D406F1283C0CAC14940"
14146,"2011-04-19","2022-09-07",40,51.4787,7.0234,"Essen-Stoppenberg","Nordrhein-Westfalen","0101000020E6100000D5E76A2BF6171C40304CA60A46BD4940"
14147,"2011-04-18","2022-09-07",48,51.8103,7.2684,"Dülmen","Nordrhein-Westfalen","0101000020E610000050FC1873D7121D4072F90FE9B7E74940"
14148,"2011-04-18","2022-09-07",27,51.6531,6.7581,"Hünxe","Nordrhein-Westfalen","0101000020E6100000F163CC5D4B081B404182E2C798D34940"
14149,"2011-04-18","2022-09-07",53,51.7536,6.9985,"Lembeck","Nordrhein-Westfalen","0101000020E61000005839B4C876FE1B40FF21FDF675E04940"
